,tag,accelometer_x,accelometer_y,accelometer_z,gyroscope_x,gyroscope_y,gyroscope_z,angle,speed
58,right,-0.1604164093732834,6.859597206115723,6.962551116943359,-0.0008814785396680236,0.025240952149033546,0.005108666140586138,269.24115988359347,
59,right,-0.29928433895111084,6.8212890625,6.957762718200684,0.0064489045180380344,0.0038606685120612383,-0.004665177781134844,269.24115988359347,
60,right,-0.2705530524253845,6.823683261871338,6.909877300262451,0.027218323200941086,-0.018741346895694733,0.010606452822685242,269.24115988359347,
61,right,-0.2370332032442093,6.828471660614014,6.907482624053955,0.012557556852698326,-0.020573941990733147,-0.0003891211817972362,269.24115988359347,
62,right,-0.2968900799751282,6.81171178817749,6.94100284576416,0.021720536053180695,0.0008063421119004488,-0.016882482916116714,269.2461516462389,
63,right,-0.39505535364151,6.790163516998291,6.850020408630371,-0.008211861364543438,-0.0034697146620601416,-0.004054312594234943,269.2461516462389,
64,right,-0.3782954216003418,6.828471660614014,6.974522590637207,-0.011266187764704227,-0.01080009713768959,-0.0022217168007045984,269.2461516462389,
65,right,-0.4070267081260681,6.7757978439331055,7.034379482269287,0.029661783948540688,0.0026389379054307938,0.016104239970445633,269.2461516462389,
66,right,-0.3232271075248718,6.790163516998291,6.8069233894348145,0.03821389749646187,0.011801916174590588,0.01732597127556801,268.86930898965943,
67,right,-0.2729473412036896,6.826077461242676,6.711152076721191,-0.0008814785396680236,0.005082399118691683,0.0008326093666255474,268.86930898965943,
68,right,-0.2968900799751282,6.794951915740967,6.8356547355651855,-0.009433591738343239,0.0020280724857002497,-0.013828156515955925,268.4825858907036,
69,right,-0.4740664064884186,6.799740314483643,6.838048934936523,-0.016153110191226006,0.013023647479712963,-0.010773830115795135,268.4825858907036,
70,right,-0.5243461728096008,6.778192043304443,6.9601569175720215,0.0015619824407622218,0.034403931349515915,0.03992798551917076,268.4825858907036,
71,right,-0.1891477108001709,6.850020408630371,6.948185443878174,0.0290509182959795,0.08144055306911469,0.00816299207508564,268.4925641998657,
72,right,-0.42378664016723633,6.924242973327637,6.878751754760742,0.029661783948540688,0.07227757573127747,-0.02360200136899948,268.4925641998657,
73,right,-0.4070267081260681,6.964945316314697,6.75185489654541,-0.008211861364543438,0.052119024097919464,-0.029099786654114723,268.4925641998657,
74,right,-0.7182824611663818,6.974522590637207,6.574678421020508,-0.025316087529063225,0.010580185800790787,-0.05048007145524025,268.4925641998657,
75,left,0.06225114315748215,7.010436534881592,6.95297384262085,0.02294226735830307,0.023408355191349983,0.01121731847524643,265.23635816433614,
76,left,0.10534809529781342,6.859597206115723,6.797346115112305,0.05898331478238106,0.0008063421119004488,0.02832154557108879,265.23635816433614,
77,left,0.15802213549613953,6.830865859985352,6.629746913909912,0.05470725893974304,0.001417207415215671,0.04542577266693115,265.23635816433614,
78,left,0.13168510794639587,6.873962879180908,6.58186149597168,0.039435628801584244,0.00019547688134480268,0.03504106029868126,265.20576767082184,
79,left,0.112530916929245,6.818894863128662,6.703969478607178,-0.009433591738343239,-0.013243558816611767,0.018547700718045235,265.20576767082184,
80,left,-0.011971374042332172,6.9601569175720215,6.850020408630371,-0.013098783791065216,-0.027904324233531952,0.006330396514385939,265.20576767082184,
81,left,0.08619388937950134,6.95297384262085,6.924242973327637,-0.02714868262410164,-0.01935221068561077,0.02038029581308365,265.20576767082184,
82,left,0.08619388937950134,7.015225410461426,6.955368518829346,-0.009433591738343239,-0.02240653708577156,0.03443019837141037,265.20576767082184,
83,left,0.1771763414144516,7.017619609832764,6.945791244506836,-0.008822727017104626,0.011801916174590588,0.014882510527968407,265.20576767082184,
84,left,0.19633053243160248,6.93142557144165,7.003253936767578,-0.0265378188341856,0.02157576009631157,0.008773856796324253,265.23635816433614,
85,left,0.04070267081260681,6.854808807373047,6.75185489654541,0.0290509182959795,0.017910568043589592,-0.017493346706032753,265.23635816433614,
